ta1,ta2,ta3,ta4,ta5,ta6,ta7
senor,rico,mama,"No, porque yo lo digo",si que es un bebe y que le meten un ladrillo por la boca para callarlo,no se,una pelota *** (chapada) en oro
balon,oro,perro,"si, porque dices una rima",que grita mucho,rata,un oro
aire,plata,mama,"No, porque las pelotas no cantan",porque grita,pelota de piojos porque es algo del cabello,es una pelota de plata
balon,mi goma,gato,"No, porque ellas no hablan",si porque tal vez asi es y les guste decirle asi,no existe,mi goma es una pelota de plata
sol,luna,perro,"No, porque las pelotas no cantan*",que grita mucho,"hamster, porque tiene alrededor de su rostro pelo",es que la luna es blanca y lo primero que se me vino a a mente de la plata fue la luna
no respondio,no respondio,perro,"No, no se",no se,pelota,****
papa,mi hermanito,mama,"Si, porque es como rima",de que mi pelota es muy gritona como mi hermano,que mi mama tiene pelo en la cabeza,que mi hermanito planta flores
sol,La estrella,papa,"No, no se",que grita mucho,mi perro es una pelota de pelos,"que es una estrella de ""plata"""
calor,El dinero,cabello,"No, porque las pelotas no cantan*",que mi hermanito grita mucho,una pelota con lineas delgadisimas porque asi es el cabello,Fue el dinero porque la plata es dinero
sol,medalla,cabeza,"pelota que tiene ojos y boca, nariz y habla",que mi hermano siempre grita,"perro, cabeza, rata, hamster, conejo, raton.",yo le entiendo una medalla
sol,la luna,cabeza,"no, porque las pelotas rebotan no cantan",que el hermano siempre grita,cabeza porque tiene pelos,la pelota es muy bonita
no la conozco,pelota roja,hermano,"si, porque se le entiende a lo que dice",que su hermano rueda,la cabeza,que es valiosa
fuego,el hierro,pelo,"no, porque nadamas dices pelota",que su hermanito grita mucho,"un peluche, una almohada, el algodon, etc, porque tienen pelos pero de diferente material",yo digo que es pelota de hierro porque es un poco mas parecida a la plata
hombre,mama,perro,"si, tiene sentido porque si pones una persona tiene sentido",que es griton y juega con una pelota,"gato, chango, leon, perro porque tienen pelos*",mi mama es muy valiosa
sol,mi consola,gato,"si, porque le gusta cantar",que es muy jugueton y grita mucho,cualquier animal porque tiene pelos,es algo valioso para el
sol,medalla,perrito,"No, porque las pelotas no cantan*",que mi hermano grita mucho*,un gatito porque los gatos tienen muchos pelos,que los medallones pueden ser de muchas formas
sol,la luna,perro,"si, porque es como tu mama cantara",tu hermanito saltara y saltara y no tiene sentido,perro*,yo digo que seria la luna
sol,luna,perro,"No, es sentido figurado mas no literal",que su hermano no para de gritar,su cabeza,"porque la luna es blanca, plateada y brillante*"
sofa,carro,pluma,"si, porque canta",que cuando juega con la pelota grita,mi perro porque tiene mucho pelo,porque vale dinero
cerillo,mi cabello,perro,"Si, porque puede ser una persona",que su hermano grita mucho,un perro,el cabello puede ser color plata
sol,La luna,perro,"No, porque las pelotas no cantan",que grita mucho,la cabeza porque tiene muchos pelos,que es una pelota de plata
(el ) o ella,papa,Hermano,"No, porque no puede haber pelotas que canten en la vida real",que no puede haber pelotas asi,una pelota traviesa y gritona,Que mi papa es muy fuerte y parece de plata
no respondio,no respondio,perro,"No, porque las pelotas no cantan",que grita mucho,no lo se,una pelota para playa
son tantas,mi mama,hermanito,"si, porque al momento que rebota suena",que cuando rebota suena como un grito,o sea que es una pelota peluda,una pelota de plata que no rebota
sol,Luna,perro,"No, porque la pelotas que cantan no existen",que mi hermanito siempre grita a cada segundo,"que hay cosas con muchos pelos, como el perro o gato","que seria muy valiosos con un ejemplo que puse, la luna seria la frase"
gas,dinero,Gato,"No, porque las pelotas no tienen cerebro, entonces serian como unos zombies porque no tienen cerebro","una pelota de gritos porque los bebes siempre lloran, gritan, eructan y muchas mas cosas",perro o hamster porque tienen muchos pelos*,pudiera ser dinero porque el dinero esta hecho de plata
Sol,La luna,Gato,"si, porque tu mama puede cantar",que su hermano grita mucho y le gusta saltar,perro porque tiene mucho pelo*,La luna brilla
encendedor,mi alcancia,perro,"No, porque las pelotas no cantan",o sea que chilla mucho,"mi papa, un chango, un gato, un leon, un gorila","una alcancia porque tiene dinero adentro que tambien se llama plata, money, feria"
sol,luna,perro,Un senor que esta gordito y canta,que su hermano grita bien alto,perro que lo saco a pasar,la luna cuando es de noche es una pelota de plata
sol,La luna,perro,"No, porque las pelotas no hablan*",que grita mucho,un oso,la luna es una pelota pintada de plata
sol,La luna,Cabeza,"si, porque puede referirse al sentido figurado como el poema, esta escrito en figurado o literal",pues se refiere a que su hermanito es muy griton o grita mucho,"una cabeza porque hay mucho pelos, un juguete que sea de pelos u otra cosa, etc",yo en mi caso elegi la luna porque pues es circular y se puede ver blanca o platiada es tener imaginacion
circulo,oro,hermana,"No, porque esta en sentido figurado",que su hermano grita o llora todo el dia,un circulo porque es redondo como las pelotas,una pelota de plata o puede tener oro
balon,nino,pelota,"si, eso creo yo",que mi hermano grita mucho*,una peluca de pelos,un nino de plata
Sol,la luna,gato,"No, porque simplemente las pelotas no cantan",porque le encanta gritar,perro porque son muy peludos*,porque el gris de la luna parece de plata
Sol,la luna,perro,"si, porque en un poema las frases no deben tener sentido, pero esto significa algo como que alguien canta porque no es literalmente lo que dice la frase.",que es muy griton*,cabeza porque es una pelota y tiene pelos*,porque la luna es una pelota y tiene un color un poco plateado
Abuelo,no respondio,papa,"si, porque un poema tiene tipos de textos, literal y figurado, en figurado es: mi mama canta",que su hermano es chillon o griton,creo que es ser genial,no entendi la frase pero creo que es tener dinero
hombre,mujer,pierna,"No, porque las pelotas no tienen boca",que su hermano grita mucho,Las manos porque salen pelos,que la pelota es bonita y dura
Balon,ella,pelota,"si, porque tiene algo de sentido",que su hermano grita mucho*,una bola con pelos,ella porque seria alguien bonito
balon,la bola,pelota,"No, porque no tiene boca para hablar",que cuando grita es que quiere algo,un balon con picos porque parecen pelos,Es la unica forma que se me vino a la mente
Sol,el,perro,"si, porque se esta refiriendo a cosas",mi hermanito grita porque se eleva la pelota,una bola de pelos de gato,puede ser un iman
hombre,luego,perro,"No, porque las pelotas no hablan",que su hermano grita mucho,gato porque tiene muchos pelos,pelota que vale mucho
sol,La Luna,Cabeza,"si, porque esta en sentido figurado",que su hermanito grita y es redondo,un peluche,una pelota que parece de plata por su color
hombre,hermanito,perro,"si, porque su mama canta",porque su hermano se la pasa gritando todo el tiempo,cualquier otra mascota que penga pelos,pelota de color plata o una pelota especial
perro,El,perro,"No, porque no rima la frase",que su hermano grita mucho,una bola de estambre porque tiene forma de pelos,una pelota de color de plata
cocinero,mi abuelo,papa,"si, porque su mama canta",que su hermano grita mucho*,que tiene mucho pelo,que es valioso o que es fuerte
balon,mama,mascota,"No, porque las pelotas no cantan*",que su hermano llora mucho,su pc porque el nino se divierte,que es muy valioso
sol,Luna,perro,"No, porque las pelotas no hablan *",que su hermano grita mucho,un gato porque es muy peludo,la luna es una pelota de plata porque el color es similar al plateado
vecino,amigo,papa,"si, porque mi mama canta",que llora mucho y molesta,sus primos porque son buenos,muy valioso
sol,moneda,cabeza,"No, porque las pelotas no cantan",que su hermano grita muy fuerte diario,un perro porque tiene mucho pelo,Que es una moneda de plata
hombre,porque,papa,"si, porque es alguien que le gusta cantar",que su hermano grita mucho,"es que es muy chido, porque cuando dice pelos se refiere a chido, valiente, etc.",Es nino que vale mucho
encendedor,amigo,cabello,"si, porque dice que su mama canta",que su hermano grita mucho,porque se le cae el pelo,no se
jugador,y el otro,hermano,"no, porque una pelota no tiene boca por eso no canta",que su hermano grita mucho,un balon de espinas porque tendria mucha similitud,que la pelota es muy cara y pesada
sol,dinero,perro,"si, porque una pelota representaria un objeto cualquiera",porque seguramente es un bebe y los bebes gritan y lloran*,"una cabeza o cabello, porque la cabeza es la pelota y los pelos son los cabellos",puse el dinero porque la plata cuesta dinero
Sol,dadega,perro,"no, porque es una cosa material",que grita mucho,solo el perro,pues es una dadega
Arma,El oro,perro,"no, porque no tienen suficientes palabras para explicar el poema",creo que es mi hermano pero grita mucho,gato porque tiene pelos,es dinero se puede decir plata y dinero
odio,amor,cuerpo,"No, porque las pelotas solo son para jugar, no para cantar","que hermanito es un griton, chillon, comelon, etc.",un animal porque los animales tienen pelos,significa algo muy bonito que no se puede romper
Balon,mi moneda,Perro,"No, porque las pelotas no cantan, es como si una pelota cantara despacito",que grita mucho,mi Oso Panda,Que es muy valorada
Balon,Perro,Gato,"No, porque yo no he visto una pelota que canta",que el hermano es travieso y grita mucho,Pues un pajaro porque es muy peludo,Porque es una pelota bonita y de plata
Sol,la luna,gato,"si, porque se refiere a su mama",que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,perro porque ya que todo lo ve como una pelota todo es una pelota,pelota de plata es la luna porque el sol es una pelota de fuego
papa,cartera,perro,"no, porque las pelotas no cantan",que su hermano grita y llora mucho,"Gato, hamster porque los dos tienen mucho pelo",cartera o dinero
Sol,la moneda,Cabeza,"no, porque las pelotas no hablan",que mi hermanita grita,la cabeza porque tiene pelo,Una moneda
rebota,solta,gato,"no,porque no es tan comprensible",grita siempre me grita,"Perro, hamster, oso o monos",que tiene mucho dinero
sol,la luna,papa,"No,porque no puede haber un objeto que cante, eso seria imposible y absurdo",que un nino llora y grita cuando no le hacen caso o algo asi,una pelota grande depende a que se refiera de pelos o el pelo,le puse luna porque tiene casi el mismo color
hombre,que,perro,"Si, porque es una forma de describir a alguien",que su hermano grita mucho,Un amigo porque puede tener mucho pelo,Que es una persona fuerte
senor,la llanta,Amigo,"No, porque no hay pelotas que canten",que su hermano grita mucho,tiene muchos pelos o podria ser un animal,es dura
enemigo,el amigo,Gato,"No, porque las pelotas no cantan solo con la imaginacion",que su hermano es muy enojon,"Un animal, perro, gato, cebra porque tienen pelos*",Es alguien una persona que quieras como tu mama o un amigo
amigo,la pelota,pelota,"No, porque las pelotas no hablan*",que su hermano grita,una bola de pelos,que la pelota es dura
Fireball,mi dinero,perro,"si, porque canta canciones",Porque es muy escandalosa,porque tiene mucho pelo,el dinero
balon,hermano,amigo,"no, porque no creo que vaya? a cantar",Que se la pasa gritando,mi perro porque tiene pelos,que es duro como la plata
padre,hermano,perro,"no, nadie entenderia",grita mucho,el padre tiene mucho pelo,Persona muy importante
fogata,mi reloj,perro,"si, porque se refiere a que su mama canta",que su hermano siempre esta gritando,un gato,Que algo redondo puede ser de plata como accesorios
balon,mi casa,Gato,"si, porque tiene muchas curvas",que es un griton,Un gato o un perro,Que vale mucho
perro,mi papa,Gato,"si,porque esta hablando de su familia",porque llora y grita y hace berrinches,perro porque tiene muchos pelos,Es como el ejemplo para su hijo y es casi de oro porque trabaja
no respondio,no respondio,pelota,"no, es algo ironico",mi hermanito es un nino que es de lo mejor de lo mejor,"Mi amigo es una pelota de pelos, mi amigo es lo mejor",nunca se rinde
balon,mi casa,mascota,"no, porque es una pelota normal",porque grita muchas veces,Seria como una mascota,es una pelota de estado bueno
hermano,mi abuelo,gato,"no, porque las pelotas no cantan",mi hermano es un griton,un perro,es una persona rara
sol,la luna,gato,"no, porque una pelota no puede cantar",que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos,un oso porque esta gordo y peludo,porque es brillante en la oscuridad
nino,ese,maestra,"si, porque es su forma de expresarse hacia las personas","que ""mi hermana es una persona de gritos""","una persona de pelos, porque pelota es como decir persona",ese una persona de plata
sol,la moneda,cabeza,"no, porque las pelotas en si no pueden hablar",que su hermana todo el tiempo grita,el pecho porque tambien crece pelo,una moneda porque es redonda y puede ser de plata
cerillo,y,perro,"No, porque las pelotas no cantan*",que mi hermano grita mucho,un gato porque ellos tienen muchos pelos,una pelota hecha de plata pero no existen
arma,oro,perro,"No, porque las pelotas no tienen vida",que su hermano grita mucho,mi perro porque tiene muchos pelos,que el oro es como la plata solo tiene mas valor y diferente color
papa,cartera,perro,no porque una pelota es una objeto inmovil,que llora y grita mucho,"Un gato, un hamster, una rata y un cote, porque tienen mucho pelo",que te da dinero por eso puse cartera
si,no,no,en la diversion en juego puede (hacer mas cosas??) en la pelota,no es una pelota de gritos es namas una pelota para jugar.,"pelota de volleyball, pelota de tennis, baseball, y football",no es una pelota normal de telas de aire
sol,La luna,gato,"no, porque las pelotas no hablan",que mi hermanito esta triste :(,puede ser muy suave,porque la plata se parece a la luna
sol,una canica,Gato,"no, porque las pelotas no pueden cantar y porque no tienen cuerdas vocales",que mi hermano pequeno grita muchisimo*,"un perro york o un poodle porque tienen mucho pelo, pero el que mas peludo esta, es el york.",porque algunas de las canicas estan hechas de metal y parecen plata
sol,luna,cabeza,"no, porque las pelotas no cantan",que mi hermanito grita mucho,un gato,la pelota de plata es la luna porque es de plata el color de la luna
sol,luna,Gato,"no, porque las pelotas no cantan",porque su hermano grita mucho o todo el dia,Una cabeza tiene muchos pelos,Porque la luna se ve como metal
Sol,La Perla,Gato,"no, porque una pelota se usa para jugar y porque es de plastico",que mi hermano nunca deja de gritar,Una bola de estambre o una cabeza de pelo,Que es una perla que encuentras en el mar
loco,la moneda,papa,"no,porque las pelotas no hablan y si no hablan no cantan","que llora, que grita","Un perro, los perros tienen mucho pelo en todas partes","Una Moneda, porque las monedas estan hechas de plata"
sol,papa,perro,"si, porque si con pelotas se refieren a personas entonces si, porque las mamas siempre cantan",que el hermanito bebe siempre grita,"papa (jajajaja) la verdad no se, solo lo puse porque no pensaba en nada mas","porque mi papa es muy bueno y paciente conmigo asi que para mi, el esta hecho de plata"
aceite,moneda,perro,"si, porque mi mama canta",mi hermano grita mucho,no se,hay monedas de plata ?no?
Juan,no ,Hermana,"no, porque las pelotas no cantan",porque todo tiene que ser una pelota,tu porque eres la unica que falta,porque las pelotas no son de plata
mango,Mateo,Hermano,"No, porque las cosas no hablan",que mi hermano grita mucho,Mi gato porque suelta mucho pelo,que es muy brillante
meteoro,canica,gato,"No, porque las pelotas no cantan",mi ? hermano se la pasa gritando,bola de pelos de los gatos,porque las canicas a veces son de plata
Rafles,Mike,Ramon,"si, porque la tecnologia hizo a Sphero una pelota robot que habla y canta",que los ninos chicos gritan mucho,la cabeza de chewbacca,una canica de plata
no,si,mama,"No, porque dice cosas extranas",porque es latoso,mi mama,no se
diablo,mi alma,cabeza,"no, porque la puedes botar, pero no va a cantar","no para de gritar, o sea yo",la axila,mi alma es de un guerrero
sol,mi papa,perro,"No, porque las pelotas no hablan*",que mi hermanito grita mucho,un perro gordo,mi papa porque es muy bueno conmigo
sol,la luna,papa,"Imaginense una pelota cantar, no es normal",Bueno si es bebe si y si no tambien grita y grita,una mascota porque mi mascota es una bola de pelos bueno esta peluda,Bueno la luna esta brillante como la plata
