,word,ninos,author,proportion
1,"""no entendio""",NA,ninas,0.004651163
2,(dormido),0.004651163,ninas,0.004651163
3,(el ) o ella,0.004651163,ninas,NA
4,abuela,NA,ninas,0.004651163
5,abuelo,0.013953488,ninas,NA
6,aceite,0.004651163,ninas,NA
7,agua,0.004651163,ninas,0.004651163
8,aire,0.004651163,ninas,NA
9,amanecer,0.004651163,ninas,NA
10,amigo,0.004651163,ninas,0.009302326
11,amor,NA,ninas,0.004651163
12,anillo,NA,ninas,0.004651163
13,anochecer,NA,ninas,0.004651163
14,arete,NA,ninas,0.004651163
15,aretes,NA,ninas,0.004651163
16,arma,0.009302326,ninas,NA
17,balon,0.060465116,ninas,NA
18,balon ,0.004651163,ninas,NA
19,baston,NA,ninas,0.004651163
20,bola,0.004651163,ninas,NA
21,bombero,0.004651163,ninas,NA
22,brillante,NA,ninas,0.004651163
23,caliente,NA,ninas,0.004651163
24,calor,0.004651163,ninas,NA
25,canica,NA,ninas,0.004651163
26,canto,NA,ninas,0.004651163
27,cara,NA,ninas,0.004651163
28,carro,0.004651163,ninas,0.004651163
29,cartera,NA,ninas,0.009302326
30,casi,0.004651163,ninas,NA
31,cerillo,0.009302326,ninas,NA
32,circulo,0.009302326,ninas,NA
33,cocinero,0.004651163,ninas,NA
34,como,NA,ninas,0.004651163
35,corazon,0.004651163,ninas,NA
36,cual,NA,ninas,0.004651163
37,cualquiera,0.004651163,ninas,NA
38,dadega,NA,ninas,0.004651163
39,diablo,0.004651163,ninas,NA
40,dinero,NA,ninas,0.009302326
41,dragon,0.004651163,ninas,NA
42,el,NA,ninas,0.037209302
43,el agua,NA,ninas,0.004651163
44,el amigo,NA,ninas,0.004651163
45,el anillo,NA,ninas,0.004651163
46,el arete,NA,ninas,0.004651163
47,el balon,NA,ninas,0.004651163
48,el dinero,NA,ninas,0.004651163
49,el fierro,NA,ninas,0.004651163
50,el hierro,NA,ninas,0.004651163
51,el oro,NA,ninas,0.004651163
52,el pez,NA,ninas,0.004651163
53,el que madruga,0.004651163,ninas,NA
54,eliod,NA,ninas,0.004651163
55,ella,NA,ninas,0.013953488
56,encendedor,0.009302326,ninas,NA
57,enemigo,0.004651163,ninas,NA
58,enojo,0.004651163,ninas,NA
59,ese,NA,ninas,0.004651163
60,fenomeno,0.009302326,ninas,NA
61,fireball,0.004651163,ninas,NA
62,fogata,0.004651163,ninas,NA
63,fudon,0.004651163,ninas,NA
64,fuego,0.03255814,ninas,NA
65,fuerte,NA,ninas,0.004651163
66,gas,0.004651163,ninas,NA
67,gato,0.009302326,ninas,NA
68,hermana ,NA,ninas,0.004651163
69,hermanito,NA,ninas,0.009302326
70,hermano,0.004651163,ninas,0.013953488
71,hierro,NA,ninas,0.004651163
72,hombre,0.027906977,ninas,NA
73,iman,NA,ninas,0.004651163
74,juan,0.004651163,ninas,NA
75,juega,0.004651163,ninas,NA
76,jugador,0.004651163,ninas,NA
77,la bola,NA,ninas,0.004651163
78,la estrella,NA,ninas,0.009302326
79,la llanta,NA,ninas,0.004651163
80,la luna,NA,ninas,0.111627907
81,la mina,NA,ninas,0.004651163
82,la moneda,NA,ninas,0.018604651
83,la nina,NA,ninas,0.009302326
84,la paja,NA,ninas,0.004651163
85,la pelota,0.004651163,ninas,0.004651163
86,la perla,NA,ninas,0.004651163
87,la plata,NA,ninas,0.004651163
88,loco,0.004651163,ninas,NA
89,luego,NA,ninas,0.004651163
90,luna,NA,ninas,0.074418605
91,mama,NA,ninas,0.023255814
92,mango,0.004651163,ninas,NA
93,mar,NA,ninas,0.009302326
94,mateo,NA,ninas,0.004651163
95,medalla,NA,ninas,0.013953488
96,metal,NA,ninas,0.004651163
97,meteorito,0.009302326,ninas,NA
98,meteoro,0.004651163,ninas,NA
99,meteoro ,0.009302326,ninas,NA
100,mi abuelo,NA,ninas,0.009302326
101,mi alcancia,NA,ninas,0.004651163
102,mi alma,NA,ninas,0.004651163
103,mi cabello,NA,ninas,0.004651163
104,mi casa,NA,ninas,0.009302326
105,mi consola,NA,ninas,0.004651163
106,mi dinero,NA,ninas,0.004651163
107,mi estomago ,NA,ninas,0.004651163
108,mi goma,NA,ninas,0.004651163
109,mi hermanito,NA,ninas,0.004651163
110,mi mama,NA,ninas,0.009302326
111,mi moneda,NA,ninas,0.009302326
112,mi papa,NA,ninas,0.009302326
113,mi perro,NA,ninas,0.004651163
114,mi reloj,NA,ninas,0.004651163
115,mi vecino,NA,ninas,0.004651163
116,mi vida,NA,ninas,0.004651163
117,mike,NA,ninas,0.004651163
118,minero,NA,ninas,0.004651163
119,moneda,NA,ninas,0.03255814
120,mr. senor,0.004651163,ninas,NA
121,mucho dinero,NA,ninas,0.004651163
122,mujer,NA,ninas,0.004651163
123,nino,0.027906977,ninas,0.004651163
124,no,0.004651163,ninas,0.004651163
125,no ,NA,ninas,0.004651163
126,no contesto,0.018604651,ninas,0.018604651
127,no entiendo,0.004651163,ninas,0.004651163
128,no entiendo nada,0.004651163,ninas,0.004651163
129,no la conozco,0.004651163,ninas,NA
130,no respondio,0.013953488,ninas,0.018604651
131,no se,NA,ninas,0.013953488
132,odio,0.004651163,ninas,NA
133,oro,NA,ninas,0.013953488
134,padre,0.009302326,ninas,NA
135,papa,0.018604651,ninas,0.018604651
136,papel ,0.004651163,ninas,NA
137,pelo,0.004651163,ninas,NA
138,pelota,0.004651163,ninas,0.009302326
139,pelota roja,NA,ninas,0.004651163
140,pelotas,0.013953488,ninas,0.004651163
141,perro,0.009302326,ninas,0.009302326
142,pesada,NA,ninas,0.009302326
143,planta,NA,ninas,0.004651163
144,plata,0.004651163,ninas,0.009302326
145,porque,NA,ninas,0.004651163
146,primo,0.004651163,ninas,NA
147,que,NA,ninas,0.027906977
148,que cosa,0.004651163,ninas,NA
149,que es,NA,ninas,0.009302326
150,quemador,0.004651163,ninas,NA
151,rafles,0.004651163,ninas,NA
152,rebota,0.004651163,ninas,NA
153,rico,NA,ninas,0.004651163
154,robot,NA,ninas,0.004651163
155,rueda,0.004651163,ninas,NA
156,senor,0.018604651,ninas,0.004651163
157,si,0.004651163,ninas,0.004651163
158,sin respuesta,0.004651163,ninas,NA
159,sofa,0.004651163,ninas,NA
160,sol,0.358139535,ninas,NA
161,solta,NA,ninas,0.004651163
162,son tantas,0.004651163,ninas,NA
163,tambien,NA,ninas,0.004651163
164,tiene,0.004651163,ninas,NA
165,tiene esa,0.004651163,ninas,NA
166,tio,0.009302326,ninas,NA
167,tu sonrisa,NA,ninas,0.004651163
168,una canica,NA,ninas,0.004651163
169,vecino,0.013953488,ninas,NA
170,vecino de pelo rojo,0.004651163,ninas,NA
171,veredo,NA,ninas,0.004651163
172,viento,0.004651163,ninas,NA
173,volcan,0.013953488,ninas,NA
174,voliche,NA,ninas,0.004651163
175,y,NA,ninas,0.013953488
176,y el otro,NA,ninas,0.004651163
