,que mi hermanito grita mucho,n_similarities,2dim,5dim,10dim,20dim,50dim,eval_og
0,si. porque canta,0,0,0,0,0,0,2
1,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
2,NS,0,0,0,0,0,0,1
3,que mi hermano habla y llora mucho,0.32829186,0.004135817,-0.024165545,-0.006690264,-0.000459008,-0.000103258,3
4,porque es muy travieso o llora mucho,0.50417924,0.9209119,0.91910756,-0.009795409,-0.002236687,-9.42E-05,3
5,sus hemanos gritan mucho,0.587024,-0.47047094,-0.10315436,-0.015784612,-0.00374648,0.001283439,3
6,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
7,porque algunos gritamos cuando queremos,0,0,0,0,0,0,2
8,es muy irritante y llora mucho,0.39172617,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,3
9,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
10,mi hermano es un griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
11,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
12,NS,0,0,0,0,0,0,1
13,su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
14,que grita mucho y no para de reir,0.63773954,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
15,que su hermano es chillon,0.30738476,-0.041525424,-0.073130935,0.004510202,0.007470787,0.001552388,3
16,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
17,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
18,lenguaje literal,0,0,0,0,0,0,2
19,que mi hermano esta gritando,0.45310497,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
20,que es griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
21,mi hermano es una pelota que grita mucho,0.60425675,0.6598271,0.44950983,0.41227862,0.4118954,0.41047364,3
22,porque cuando no le dan algo se enoja y empieza a gritar,0.5912515,-0.47728553,0.069842845,0.000427675,-0.001628837,-0.000958549,3
23,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
24,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
25,0,0,0,0,0,0,0,0
26,es como cuando grita mucho muy fuerte,0.5692198,0.9955339,0.81271434,0.70530456,0.699852,0.5230107,3
27,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
28,no grita porque no es como su hermano,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,1
29,que se asusta siempre o es muy enojona y grita mucho de furia,0.6052917,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
30,es lloron y es pelota de gritos,0.4947111,0.37198728,0.046005696,0.017324783,0.002141833,0.000320736,3
31,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
32,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
33,que bota,0.32965043,0.44887322,-0.040328406,-0.018899981,0.02335608,0.006942791,1
34,que su hermano siempre esta gritando,0.45310497,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
35,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
36,que es aburrido,0.21235228,0,0,0,0,0,1
37,que su hermano siempre o la mayoria de veces grita o llora,0.6046258,0.6751732,0.53623796,0.40186307,0.40225986,0.39623824,3
38,porque su hermanito es pequeno y grita por eso,0.8110508,0.9999893,0.99985445,0.9970799,0.8556826,0.8217512,3
39,cuando un hermanito grita porque quiere algo,0.8323351,0.99999994,1,1,1,1,3
40,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,1
41,si. porque siempre chilla,0.53725517,0.46122682,0.037388176,0.15310349,-0.001660016,7.45E-07,3
42,que esta gritando todo el dia,0.5244153,-0.51134896,0.14512928,-0.002803262,-0.00037792,-0.000597566,3
43,porque las hermanas por todo se enojan,0.44135043,0,0,0,0,0,3
44,su hermano es muy travieso,0.38341755,-0.040281028,-0.08080984,-0.004813299,-0.001795985,-4.88E-05,3
45,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
46,que su hermano es griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
47,es muy escandaloso,0.23753607,-0.49071535,-0.37589234,-0.069461375,-0.011570905,-9.20E-05,3
48,llora por ella ,0.3590144,0.97476524,0.941955,-0.007308953,-0.000567809,-0.000105321,1
49,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
50,porque esa pelota esta muy poco inflada,0.40923604,0.5306839,0.04140625,-0.010899864,0.002403207,0.001123399,1
51,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
52,una persona que grita mucho,0.6832276,0.99475455,0.80474293,0.5302667,0.5162337,0.500969,3
53,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
54,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
55,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
56,es un nino griton,0.53251815,-0.41462427,0.2728505,-0.001816213,0.000125468,0.000342131,3
57,que mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
58,que es griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
59,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
60,que su hermano es muy griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
61,mi hermano siempre grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
62,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
63,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
64,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
65,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
66,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
67,que es un gordito que grita,0.6558389,0.99516606,0.84843904,0.7038979,0.5025464,0.5018801,3
68,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
69,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
70,que mi hermano es griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
71,porque se expresa de manera en la que es como llora mucho,0.4537499,0.96676064,0.9404825,-0.009173796,-0.000841707,-0.0040562,3
72,que es gordo y grita mucho,0.5093061,0.99496603,0.8349745,0.7232153,0.51983523,0.5044687,3
73,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
74,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
75,que a cada rato grita,0.6714142,0.9952711,0.8226125,0.7058833,0.64399064,0.5081346,3
76,que el hermano es una persona gritona,0.44833302,-0.028269798,-0.086781,-0.009294495,-0.001681322,-0.000491191,3
77,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
78,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
79,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
80,mas o menos le entendi,0,0,0,0,0,0,1
81,que es muy enojon,0.3514654,-0.15241376,-0.3455549,0.035246417,0.038458776,0.002099219,3
82,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
83,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
84,NS,0,0,0,0,0,0,1
85,que los bebes lloran,0.5589644,-0.46237123,-0.11602962,-0.027877057,-0.018816233,-0.003086907,3
86,que mi hermano grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
87,que su hermano tiene una cabeza redonda y siempre grita,0.5187576,0.66273874,0.5061349,0.49884787,0.49718064,0.4921052,3
88,que grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
89,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
90,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
91,mi  hermano bebe chilla y grita mucho,0.6354011,0.66601795,0.51653516,0.5108247,0.4488711,0.3546852,3
92,que mi hermano siempre grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
93,que tu hermano cada vez que salta grita,0.48212928,0.6661667,0.5093777,0.50117815,0.500515,0.5001898,3
94,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
95,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
96,que mi hermanito siempre grita y no suelta la pelota,0.7864597,0.9990771,0.8377172,0.8330569,0.82007116,0.818916,3
97,que su hermanito grita pelotas pelotas,0.68856335,0.9999838,0.999851,0.9983665,0.94725406,0.58556825,1
98,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
99,circular comelona,0,0,0,0,0,0,2
100,su hermano grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
101,(dormido),0,0,0,0,0,0,1
102,que grita demasiado,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
103,mi hermana es una pelota de risa,0.60870826,0.6481215,0.045032382,-0.011348732,-0.004627474,0.00026292,2
104,NS,0,0,0,0,0,0,1
105,que ese hermanito llora mucho y grita mucho,0.7636749,0.9999663,0.9998965,0.8195754,0.8176248,0.81710565,3
106,que es muy gritona,0.24782684,-0.4625459,-0.2740041,-0.019511063,-0.015808148,-0.000904816,3
107,que mi  hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
108,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
109,que su hermano es griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
110,que llora y grita cuando necesita algo,0.6273056,0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
111,que es muy divertido y grita mucho,0.57660484,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
112,que es muy gritona,0.24782684,-0.4625459,-0.2740041,-0.019511063,-0.015808148,-0.000904816,3
113,porque esta gordito y es griton,0.5462071,-0.4661032,0.22764295,0.01846397,1.92E-05,-0.000304401,3
114,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
115,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
116,si ,0,0,0,0,0,0,1
117,si que es un bebe y que le meten un ladrillo por  la boca para callarlo,0.33052778,0.8454443,0.77369905,0.21474831,0.02085315,9.81E-05,1
118,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
119,porque grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
120,si porque tal vez asi es y les guste decirle asi,0.36496097,-0.5014969,-0.001234055,-0.14622545,-0.029106893,-0.0052907,1
121,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
122,NS,0,0,0,0,0,0,1
123,de que mi pelota es muy gritona commo mi hermano,0.3854341,-0.013574034,-0.038326897,-0.01355586,-0.002490569,0.000104088,1
124,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
125,que mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
126,que mi  hermano siempre grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
127,que el hermano siempre grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
128,que su hermano rueda,0.14036883,-0.040054172,-0.08299095,-0.002148811,-8.19E-05,-4.07E-05,2
129,que su hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
130,que es griton y juega con una pelota,0.4913438,-0.3429029,0.16430551,-0.008011371,-0.000356346,-0.001312941,2
131,que es muy jugueton y grita mucho,0.62060857,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
132,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
133,tu hermanito satltara y saltara y no tiene sentido,0.5837724,0.88274914,0.69582236,0.7087475,0.70519054,0.58364236,2
134,que su hermano no para de gritar,0.43793315,-0.057807058,-0.07482973,-0.000295531,0.000172885,0.000755303,3
135,que cuando juega con la pelota grita,0.64511317,0.9902796,0.6310423,0.49054578,0.48614895,0.4184559,2
136,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
137,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
138,que no puede haber pelotas asi,0.336475,0.8998424,0.7619127,0.46744847,0.07479968,0.00249289,1
139,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
140,que cuando rebota suena como un grito,0.31875324,0.33576292,0.017622182,-0.07537825,-0.0127634,0.000306414,2
141,que mi hermanito siempre grita a cada segundo,0.8323351,0.99999994,1,1,1,1,3
142,una pelota de gritos porque los bebes siempre lloran. gritan. eructan y muchas mas cosas,0.6620515,0.21017206,0.036609188,0.012155175,-0.007686175,-0.00052679,3
143,que su hermano grita mucho y le gusta saltar,0.6791901,0.6625401,0.5065054,0.4966263,0.48996487,0.42424512,3
144,o sea que chilla mucho,0.53725517,0.46122682,0.037388176,0.15310349,-0.001660016,7.45E-07,3
145,que su hermano grita bien alto,0.5826529,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
146,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
147,pues se refiere a que su hermanito es muy griton o grita mucho,0.8007205,0.970231,0.8737589,0.8129892,0.7186599,0.7107183,3
148,que su hermano grita o llora todo el dia,0.5685067,0.6778558,0.5370535,0.40754598,0.40928763,0.40896627,3
149,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
150,porque le encanta gritar,0.57707816,-0.47652948,0.04005745,0.000872666,-0.000498587,0.000932235,3
151,que es muy griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
152,que su hermano es chillon o griton,0.43029892,-0.15005323,0.057325944,0.005815089,0.005397737,0.001322746,3
153,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
154,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
155,que cuando grita es que quiere algo,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
156,mi hermanito grita porque se eleva la pelota,0.80453837,0.9990771,0.8377172,0.8330569,0.82007116,0.818916,2
157,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
158,que su hermanito grita y es redondo,0.78610706,0.9999952,0.99991477,0.9999049,0.9973363,0.9923366,2
159,porque su hermano se la pasa gritando todo el tiempo,0.49017686,-0.10881367,0.06279285,-0.001390811,-9.07E-05,9.80E-05,3
160,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
161,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
162,que su hermano llora mucho,0.32829186,0.004135817,-0.024165545,-0.006690264,-0.000459008,-0.000103258,3
163,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
164,que llora mucho y molesta,0.6167488,0.94859684,0.8700297,-0.008973494,-0.001634337,-0.000650756,3
165,que su hermano grita muy fuerte diario,0.5985666,0.6688622,0.51081496,0.5005765,0.49969077,0.42124748,3
166,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
167,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
168,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
169,porque seguramente es un bebe y los bebes gritan y lloran,0.66461396,-0.11963701,0.03843303,0.03980784,-0.003379067,-0.001558329,3
170,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
171,creo que es mi hermano pero  grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
172,que hermanito es un griton. chillon. comelon. etc.,0.64455706,0.1531826,0.49605948,0.49590418,0.4951976,0.41952085,3
173,que grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
174,que el hermano es travieso y grita mucho,0.5984688,0.66187626,0.5082609,0.49771404,0.4969924,0.40886247,3
175,que su hermano grita mucho y todo lo que dice tiene que ver con pelotas,0.5668553,0.66642565,0.51683855,0.5140634,0.5044421,0.41253653,3
176,que su hermano grita y llora mucho,0.5685067,0.6778558,0.5370535,0.40754598,0.40928763,0.40896627,3
177,que mi hermanita grita,0.66486883,0.99553835,0.82306135,0.7199401,0.7154712,0.71421766,3
178,grita siempre me grita,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
179,que un nino llora y grita cuando no le hacen caso o algo asi,0.6672342,0.9946282,0.9027722,0.40931934,0.41045138,0.40980917,3
180,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
181,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
182,que su hermano es muy enojon,0.3113681,-0.040654063,-0.08462998,-0.001760922,0.00051738,0.000943292,3
183,que su hermano grita,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
184,porque es muy escandalosa,0.15648094,0,0,0,0,0,3
185,que se la pasa gritando,0.5433742,-0.5132432,0.15322389,-0.000150247,-5.30E-05,0.000148974,3
186,grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
187,que su hermano siempre esta gritando,0.45310497,-0.08828074,0.0218627,-0.003427502,-0.000319723,-0.000449769,3
188,que es un griton,0.357207,-0.5156076,0.17928916,0.003836334,0.000225902,0.000128835,3
189,porque llora y grita y hace berrinches,0.580693,0.99443126,0.8425196,0.50131065,0.50010616,0.49014592,3
190,mi hermanito es un nino que es de lo mejor de lo mejor,0.64540523,0.9151232,0.6936945,0.50349283,0.5010077,0.50059026,3
191,porque grita muchas veces,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
192,mi hermano es un griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
193,que su hermano es chico y todavia no puede razonar y todo lo resuelve a gritos ,0.44186503,-0.040760666,-0.054402985,0.02827813,0.000935406,-7.38E-05,3
194,que mi hermana es una persona de gritos,0.5966846,0.7264649,0.07540363,0.023980184,-0.001100254,0.000125059,3
195,que su hermana todo el tiempo grita,0.6899859,0.9958532,0.81491196,0.70420796,0.6812233,0.5007407,3
196,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
197,que su hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
198,que llora y grita mucho,0.6082816,0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
199,no es una pelota de gritos es namas una pelota para jugar.,0.48383367,0.46012124,0.044078123,0.003958643,0.001310453,0.000106364,1
200,que mi hermanito esta triste ,0.62923944,0.8725033,0.6919663,0.70744383,0.7068937,0.7066524,3
201,que mi hermano pequeno grita muchisimo,0.64103866,0.6661516,0.51981115,0.50973713,0.42820716,0.41161528,3
202,que mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
203,porque su hermano grita mucho o todo el dia,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
204,que mi hermano nunca deja de gritar,0.45982927,-0.061121434,-0.0690834,0.002486989,8.20E-05,-0.000151397,3
205,que llora. que grita,0.6082816,0.99488807,0.83772904,0.5005956,0.50180143,0.50112516,3
206,que el hermanito bebe siempre grita,0.7659948,0.9999902,0.9999561,0.9979979,0.91148067,0.82390463,3
207,mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
208,porque todo tiene que ser una pelota,0.40923604,0.5306839,0.04140625,-0.010899864,0.002403207,0.001123399,1
209,que mi hermano grita mucho,0.5216429,0.66490877,0.50910157,0.501273,0.50064725,0.5004216,3
210,mi hermano se la pasa gritando,0.49017686,-0.10881367,0.06279285,-0.001390811,-9.07E-05,9.80E-05,3
211,que los ninos chicos gritan mucho,0.5881612,-0.47611332,-0.14175798,-0.011657391,0.000900736,3.21E-05,3
212,porque es latoso,0.5311873,-0.4662516,0.37240872,0.45147085,0.38341346,0.000738092,3
213,no para de gritar. o sea yo ,0.511367,-0.4759286,0.06437596,0.001832273,0.000335051,0.001115969,3
214,que mi hermanito grita mucho,0.8323351,0.99999994,1,1,1,1,3
215,bueno si es bebe si y  si no tambiengrita y grita,0.6059413,0.9950042,0.8245461,0.7319771,0.60582817,0.50756854,2
216,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
217,0,0,0,0,0,0,0,0
218,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
219,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
220,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
221,NS,0,0,0,0,0,0,1
222,porque cuando quiere algo y no se lo das empieza a llorar y gritar,0.5585532,-0.476603,0.15985462,0.007439949,9.25E-05,-0.000500351,3
223,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
224,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
225,su hermano es un nino muy griton,0.47993064,-0.12298775,0.1209752,-0.002724886,5.49E-05,0.000255451,3
226,porque grita mucho,0.58479303,0.99542797,0.815106,0.71300906,0.708673,0.70789766,3
227,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
228,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
229,que su hermano es griton ,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
230,que es una pelota de gritos,0.49769545,0.40505975,0.04858302,0.01812303,0.003198184,0.001409829,1
231,que su hermano es griton,0.33011976,-0.14948976,0.051427737,0.001171693,0.000101462,6.22E-05,3
